g,k,winning_config
0.3,0.5,0
0.3,0.5,1
0.3,0.5,2
0.3,0.5,2
0.3,0.5,4
0.3,0.5,4
0.3,0.5,4
0.3,0.5,4
0.3,0.5,4
0.3,0.5,4
0.3,0.5,4
0.3,0.5,11
0.3,0.5,11
0.3,0.5,11
0.305,0.5,0
0.305,0.5,1
0.305,0.5,2
0.305,0.5,2
0.305,0.5,4
0.305,0.5,4
0.305,0.5,4
0.305,0.5,4
0.305,0.5,4
0.305,0.5,4
0.305,0.5,4
0.305,0.5,11
0.305,0.5,11
0.305,0.5,11
0.31,0.5,0
0.31,0.5,1
0.31,0.5,2
0.31,0.5,2
0.31,0.5,4
0.31,0.5,4
0.31,0.5,4
0.31,0.5,4
0.31,0.5,4
0.31,0.5,4
0.31,0.5,4
0.31,0.5,11
0.31,0.5,11
0.31,0.5,11
0.315,0.5,0
0.315,0.5,1
0.315,0.5,2
0.315,0.5,2
0.315,0.5,4
0.315,0.5,4
0.315,0.5,4
0.315,0.5,4
0.315,0.5,4
0.315,0.5,4
0.315,0.5,4
0.315,0.5,11
0.315,0.5,11
0.315,0.5,11
0.32,0.5,0
0.32,0.5,1
0.32,0.5,1
0.32,0.5,1
0.32,0.5,4
0.32,0.5,4
0.32,0.5,4
0.32,0.5,4
0.32,0.5,4
0.32,0.5,4
0.32,0.5,4
0.32,0.5,11
0.32,0.5,11
0.32,0.5,11
0.325,0.5,0
0.325,0.5,1
0.325,0.5,1
0.325,0.5,1
0.325,0.5,4
0.325,0.5,4
0.325,0.5,4
0.325,0.5,4
0.325,0.5,4
0.325,0.5,4
0.325,0.5,4
0.325,0.5,11
0.325,0.5,11
0.325,0.5,11
0.33,0.5,0
0.33,0.5,1
0.33,0.5,1
0.33,0.5,1
0.33,0.5,4
0.33,0.5,4
0.33,0.5,4
0.33,0.5,4
0.33,0.5,4
0.33,0.5,4
0.33,0.5,4
0.33,0.5,11
0.33,0.5,11
0.33,0.5,11
0.335,0.5,0
0.335,0.5,1
0.335,0.5,1
0.335,0.5,1
0.335,0.5,4
0.335,0.5,4
0.335,0.5,4
0.335,0.5,4
0.335,0.5,4
0.335,0.5,4
0.335,0.5,4
0.335,0.5,11
0.335,0.5,11
0.335,0.5,11
0.34,0.5,0
0.34,0.5,1
0.34,0.5,1
0.34,0.5,1
0.34,0.5,4
0.34,0.5,4
0.34,0.5,4
0.34,0.5,4
0.34,0.5,4
0.34,0.5,4
0.34,0.5,4
0.34,0.5,11
0.34,0.5,11
0.34,0.5,11
0.34500000000000003,0.5,0
0.34500000000000003,0.5,1
0.34500000000000003,0.5,1
0.34500000000000003,0.5,1
0.34500000000000003,0.5,4
0.34500000000000003,0.5,4
0.34500000000000003,0.5,4
0.34500000000000003,0.5,4
0.34500000000000003,0.5,4
0.34500000000000003,0.5,4
0.34500000000000003,0.5,4
0.34500000000000003,0.5,11
0.34500000000000003,0.5,11
0.34500000000000003,0.5,11
0.35000000000000003,0.5,0
0.35000000000000003,0.5,1
0.35000000000000003,0.5,1
0.35000000000000003,0.5,1
0.35000000000000003,0.5,4
0.35000000000000003,0.5,4
0.35000000000000003,0.5,4
0.35000000000000003,0.5,4
0.35000000000000003,0.5,4
0.35000000000000003,0.5,4
0.35000000000000003,0.5,4
0.35000000000000003,0.5,11
0.35000000000000003,0.5,11
0.35000000000000003,0.5,11
0.35500000000000004,0.5,0
0.35500000000000004,0.5,1
0.35500000000000004,0.5,1
0.35500000000000004,0.5,1
0.35500000000000004,0.5,4
0.35500000000000004,0.5,4
0.35500000000000004,0.5,4
0.35500000000000004,0.5,4
0.35500000000000004,0.5,4
0.35500000000000004,0.5,4
0.35500000000000004,0.5,4
0.35500000000000004,0.5,11
0.35500000000000004,0.5,11
0.35500000000000004,0.5,11
0.36000000000000004,0.5,0
0.36000000000000004,0.5,1
0.36000000000000004,0.5,1
0.36000000000000004,0.5,1
0.36000000000000004,0.5,4
0.36000000000000004,0.5,4
0.36000000000000004,0.5,4
0.36000000000000004,0.5,4
0.36000000000000004,0.5,4
0.36000000000000004,0.5,4
0.36000000000000004,0.5,4
0.36000000000000004,0.5,11
0.36000000000000004,0.5,11
0.36000000000000004,0.5,11
0.36500000000000005,0.5,0
0.36500000000000005,0.5,1
0.36500000000000005,0.5,1
0.36500000000000005,0.5,1
0.36500000000000005,0.5,4
0.36500000000000005,0.5,4
