g,K,winning_config
0.0,0.0,0
0.0,0.08,0
0.0,0.16,0
0.0,0.24,0
0.0,0.32,0
0.0,0.4,0
0.0,0.48,0
0.0,0.56,0
0.0,0.64,0
0.0,0.72,0
0.0,0.8,0
0.0,0.88,0
0.0,0.96,0
0.08,0.0,0
0.08,0.08,0
0.08,0.16,0
0.08,0.24,0
0.08,0.32,0
0.08,0.4,0
0.08,0.48,0
0.08,0.56,0
0.08,0.64,0
0.08,0.72,0
0.08,0.8,0
0.08,0.88,0
0.08,0.96,0
0.16,0.0,0
0.16,0.08,0
0.16,0.16,0
0.16,0.24,0
0.16,0.32,0
0.16,0.4,0
0.16,0.48,0
0.16,0.56,0
0.16,0.64,0
0.16,0.72,0
0.16,0.8,0
0.16,0.88,0
0.16,0.96,0
0.24,0.0,0
0.24,0.08,0
0.24,0.16,0
0.24,0.24,0
0.24,0.32,0
0.24,0.4,0
0.24,0.48,0
0.24,0.56,0
0.24,0.64,0
0.24,0.72,0
0.24,0.8,0
0.24,0.88,0
0.24,0.96,0
0.32,0.0,0
0.32,0.08,0
0.32,0.16,0
0.32,0.24,0
0.32,0.32,0
0.32,0.4,0
0.32,0.48,0
0.32,0.56,0
0.32,0.64,0
0.32,0.72,0
0.32,0.8,0
0.32,0.88,0
0.32,0.96,0
0.4,0.0,0
0.4,0.08,0
0.4,0.16,0
0.4,0.24,0
0.4,0.32,0
0.4,0.4,0
0.4,0.48,0
0.4,0.56,0
0.4,0.64,0
0.4,0.72,0
0.4,0.8,0
0.4,0.88,0
0.4,0.96,0
0.48,0.0,0
0.48,0.08,0
0.48,0.16,0
0.48,0.24,0
0.48,0.32,0
0.48,0.4,0
0.48,0.48,0
0.48,0.56,0
0.48,0.64,0
0.48,0.72,0
0.48,0.8,0
0.48,0.88,0
0.48,0.96,0
0.56,0.0,0
0.56,0.08,0
0.56,0.16,0
0.56,0.24,0
0.56,0.32,0
0.56,0.4,0
0.56,0.48,0
0.56,0.56,0
0.56,0.64,0
0.56,0.72,0
0.56,0.8,0
0.56,0.88,0
0.56,0.96,0
0.64,0.0,0
0.64,0.08,0
0.64,0.16,0
0.64,0.24,0
0.64,0.32,0
0.64,0.4,0
0.64,0.48,0
0.64,0.56,0
0.64,0.64,0
0.64,0.72,0
0.64,0.8,0
0.64,0.88,0
0.64,0.96,0
0.72,0.0,0
0.72,0.08,0
0.72,0.16,0
0.72,0.24,0
0.72,0.32,0
0.72,0.4,0
0.72,0.48,0
0.72,0.56,0
0.72,0.64,0
0.72,0.72,0
0.72,0.8,0
0.72,0.88,0
0.72,0.96,0
0.8,0.0,0
0.8,0.08,0
0.8,0.16,0
0.8,0.24,0
0.8,0.32,0
0.8,0.4,0
0.8,0.48,0
0.8,0.56,0
0.8,0.64,0
0.8,0.72,0
0.8,0.8,0
0.8,0.88,0
0.8,0.96,0
0.88,0.0,0
0.88,0.08,0
0.88,0.16,0
0.88,0.24,0
0.88,0.32,0
0.88,0.4,0
0.88,0.48,0
0.88,0.56,0
0.88,0.64,0
0.88,0.72,0
0.88,0.8,0
0.88,0.88,0
0.88,0.96,0
0.96,0.0,0
0.96,0.08,0
0.96,0.16,0
0.96,0.24,0
0.96,0.32,0
0.96,0.4,0
0.96,0.48,0
0.96,0.56,0
0.96,0.64,0
0.96,0.72,0
0.96,0.8,0
0.96,0.88,0
0.96,0.96,0
