g,k,winning_config
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.1,0
0.0,0.1,1
0.0,0.1,2
0.0,0.1,2
0.0,0.1,4
0.0,0.1,4
0.0,0.1,4
0.0,0.1,4
0.0,0.1,4
0.0,0.1,4
0.0,0.1,4
0.0,0.1,11
0.0,0.1,11
0.0,0.1,11
0.0,0.2,0
0.0,0.2,1
0.0,0.2,2
0.0,0.2,2
0.0,0.2,4
0.0,0.2,4
0.0,0.2,4
0.0,0.2,4
0.0,0.2,4
0.0,0.2,4
0.0,0.2,4
0.0,0.2,11
0.0,0.2,11
0.0,0.2,11
0.0,0.30000000000000004,0
0.0,0.30000000000000004,1
0.0,0.30000000000000004,2
0.0,0.30000000000000004,2
0.0,0.30000000000000004,4
0.0,0.30000000000000004,4
0.0,0.30000000000000004,4
0.0,0.30000000000000004,4
0.0,0.30000000000000004,4
0.0,0.30000000000000004,4
0.0,0.30000000000000004,4
0.0,0.30000000000000004,11
0.0,0.30000000000000004,11
0.0,0.30000000000000004,11
0.0,0.4,0
0.0,0.4,1
0.0,0.4,2
0.0,0.4,2
0.0,0.4,4
0.0,0.4,4
0.0,0.4,4
0.0,0.4,4
0.0,0.4,4
0.0,0.4,4
0.0,0.4,4
0.0,0.4,11
0.0,0.4,11
0.0,0.4,11
0.0,0.5,0
0.0,0.5,1
0.0,0.5,2
0.0,0.5,2
0.0,0.5,4
0.0,0.5,4
0.0,0.5,4
0.0,0.5,4
0.0,0.5,4
0.0,0.5,4
0.0,0.5,4
0.0,0.5,11
0.0,0.5,11
0.0,0.5,11
0.0,0.6000000000000001,0
0.0,0.6000000000000001,1
0.0,0.6000000000000001,2
0.0,0.6000000000000001,2
0.0,0.6000000000000001,4
0.0,0.6000000000000001,4
0.0,0.6000000000000001,4
0.0,0.6000000000000001,4
0.0,0.6000000000000001,4
0.0,0.6000000000000001,4
0.0,0.6000000000000001,4
0.0,0.6000000000000001,11
0.0,0.6000000000000001,11
0.0,0.6000000000000001,11
0.0,0.7000000000000001,0
0.0,0.7000000000000001,1
0.0,0.7000000000000001,2
0.0,0.7000000000000001,2
0.0,0.7000000000000001,4
0.0,0.7000000000000001,4
0.0,0.7000000000000001,4
0.0,0.7000000000000001,4
0.0,0.7000000000000001,4
0.0,0.7000000000000001,4
0.0,0.7000000000000001,4
0.0,0.7000000000000001,11
0.0,0.7000000000000001,11
0.0,0.7000000000000001,11
0.0,0.8,0
0.0,0.8,1
0.0,0.8,2
0.0,0.8,2
0.0,0.8,4
0.0,0.8,4
0.0,0.8,4
0.0,0.8,4
0.0,0.8,4
0.0,0.8,4
0.0,0.8,4
0.0,0.8,11
0.0,0.8,11
0.0,0.8,11
0.0,0.9,0
0.0,0.9,1
0.0,0.9,2
0.0,0.9,2
0.0,0.9,4
0.0,0.9,4
0.0,0.9,4
0.0,0.9,4
0.0,0.9,4
0.0,0.9,4
0.0,0.9,4
0.0,0.9,11
0.0,0.9,11
0.0,0.9,11
0.1,0.0,0
0.1,0.0,0
0.1,0.0,2
0.1,0.0,2
0.1,0.0,2
0.1,0.0,2
0.1,0.0,2
0.1,0.0,2
0.1,0.0,2
0.1,0.0,2
0.1,0.0,2
0.1,0.0,2
0.1,0.0,2
0.1,0.0,2
0.1,0.1,0
0.1,0.1,1
0.1,0.1,2
0.1,0.1,2
0.1,0.1,4
0.1,0.1,4
0.1,0.1,4
0.1,0.1,4
0.1,0.1,4
0.1,0.1,4
0.1,0.1,4
0.1,0.1,11
0.1,0.1,11
0.1,0.1,11
0.1,0.2,0
0.1,0.2,1
0.1,0.2,2
0.1,0.2,2
0.1,0.2,4
0.1,0.2,4
0.1,0.2,4
0.1,0.2,4
0.1,0.2,4
0.1,0.2,4
0.1,0.2,4
0.1,0.2,11
0.1,0.2,11
0.1,0.2,11
0.1,0.30000000000000004,0
0.1,0.30000000000000004,1
0.1,0.30000000000000004,2
0.1,0.30000000000000004,2
0.1,0.30000000000000004,4
0.1,0.30000000000000004,4
0.1,0.30000000000000004,4
0.1,0.30000000000000004,4
0.1,0.30000000000000004,4
0.1,0.30000000000000004,4
0.1,0.30000000000000004,4
0.1,0.30000000000000004,11
0.1,0.30000000000000004,11
0.1,0.30000000000000004,11
0.1,0.4,0
0.1,0.4,1
0.1,0.4,2
0.1,0.4,2
0.1,0.4,4
0.1,0.4,4
0.1,0.4,4
0.1,0.4,4
0.1,0.4,4
0.1,0.4,4
0.1,0.4,4
0.1,0.4,11
0.1,0.4,11
0.1,0.4,11
0.1,0.5,0
0.1,0.5,1
0.1,0.5,2
0.1,0.5,2
0.1,0.5,4
0.1,0.5,4
0.1,0.5,4
0.1,0.5,4
0.1,0.5,4
0.1,0.5,4
0.1,0.5,4
0.1,0.5,11
0.1,0.5,11
0.1,0.5,11
0.1,0.6000000000000001,0
0.1,0.6000000000000001,1
0.1,0.6000000000000001,2
0.1,0.6000000000000001,2
0.1,0.6000000000000001,4
0.1,0.6000000000000001,4
0.1,0.6000000000000001,4
0.1,0.6000000000000001,4
0.1,0.6000000000000001,4
0.1,0.6000000000000001,4
0.1,0.6000000000000001,4
0.1,0.6000000000000001,11
0.1,0.6000000000000001,11
0.1,0.6000000000000001,11
0.1,0.7000000000000001,0
0.1,0.7000000000000001,1
0.1,0.7000000000000001,2
0.1,0.7000000000000001,2
0.1,0.7000000000000001,4
0.1,0.7000000000000001,4
0.1,0.7000000000000001,4
0.1,0.7000000000000001,4
